nomor_kontrak,nama_vendor,jenis_pengadaan,durasi_kontrak,tanggal_mulai,tanggal_berakhir,nilai_kontrak
KTRK-100473,PT Teknologi Nusantara Group,Pengembangan,961,2024-02-19,2026-10-07,"Rp1.148.024.340,00"
KTRK-100474,PT BitData Systems,Pengembangan,1045,2024-12-12,2027-10-23,"Rp1.085.282.356,00"
KTRK-100475,PT BitData Group,Pengembangan,266,2023-12-22,2024-09-13,"Rp4.795.286.390,00"
KTRK-100476,PT Inovasi Digital Corp,Pengembangan,605,2024-05-26,2026-01-21,"Rp3.999.557.348,00"
KTRK-100477,PT Digikarya Internasional,Maintenance,1045,2023-09-22,2026-08-02,"Rp4.389.707.275,00"
KTRK-100478,PT Aksara Teknologi Systems,Pembelian,700,2023-01-16,2024-12-16,"Rp4.114.862.421,00"
KTRK-100479,PT BitData Solusindo,Pembelian,188,2023-12-16,2024-06-21,"Rp3.881.364.894,00"
KTRK-100480,PT Solusi Digital Solusindo,Maintenance,1023,2023-09-13,2026-07-02,"Rp2.670.026.222,00"
KTRK-100481,PT NetSol Solusindo,Maintenance,375,2024-01-29,2025-02-07,"Rp1.343.257.290,00"
KTRK-100482,PT Mitra Satu Corp,Pembelian,879,2024-10-21,2027-03-19,"Rp2.022.143.942,00"
KTRK-100483,PT Sibernetika Systems,Pengembangan,1078,2024-05-03,2027-04-16,"Rp3.087.874.490,00"
KTRK-100484,PT Cakrawala Teknologi Group,Pengembangan,213,2024-05-10,2024-12-09,"Rp1.710.007.017,00"
KTRK-100485,PT Digikarya Group,Pengembangan,517,2024-03-26,2025-08-25,"Rp2.339.013.577,00"
KTRK-100486,PT Solusi Digital Systems,Maintenance,188,2024-02-05,2024-08-11,"Rp3.906.118.375,00"
KTRK-100487,PT Mitra Satu Group,Pembelian,1038,2023-09-25,2026-07-29,"Rp1.344.997.775,00"
KTRK-100488,PT Aksara Teknologi Group,Pengembangan,595,2023-03-15,2024-10-30,"Rp3.226.451.805,00"
KTRK-100489,PT Digikarya Corp,Pengembangan,749,2024-01-16,2026-02-03,"Rp3.485.440.248,00"
KTRK-100490,PT Teknologi Nusantara Corp,Pembelian,1012,2023-09-17,2026-06-25,"Rp3.752.847.297,00"
KTRK-100491,PT Digikarya Internasional,Pembelian,856,2023-07-17,2025-11-19,"Rp4.796.626.199,00"
KTRK-100492,PT Komputasi Utama Systems,Pengembangan,234,2024-11-23,2025-07-15,"Rp3.108.984.672,00"
KTRK-100493,PT Teknologi Nusantara Internasional,Pembelian,1060,2024-08-23,2027-07-19,"Rp3.289.389.652,00"
KTRK-100494,PT Inovasi Digital Systems,Maintenance,323,2024-03-21,2025-02-07,"Rp2.061.651.376,00"
KTRK-100495,PT Digikarya Tbk,Pengembangan,494,2024-03-29,2025-08-05,"Rp4.288.595.496,00"
KTRK-100496,PT Koneksi Global Corp,Maintenance,815,2023-10-21,2026-01-13,"Rp2.266.297.317,00"
KTRK-100497,PT NetSol Systems,Pembelian,1028,2024-07-22,2027-05-16,"Rp3.452.756.249,00"
KTRK-100498,PT Inovasi Digital Solusindo,Maintenance,1035,2024-03-02,2027-01-01,"Rp2.541.251.060,00"
KTRK-100499,PT Indoinovasi Solusindo,Pembelian,486,2023-06-15,2024-10-13,"Rp4.106.999.297,00"
KTRK-100500,PT Sibernetika Group,Pengembangan,1018,2024-11-26,2027-09-10,"Rp3.606.689.534,00"
KTRK-100501,PT Aksara Teknologi Solusindo,Pembelian,561,2024-02-25,2025-09-08,"Rp2.148.002.124,00"
KTRK-100502,PT Sibernetika Internasional,Maintenance,884,2024-03-25,2026-08-26,"Rp3.313.268.649,00"
KTRK-100503,PT BitData Internasional,Maintenance,733,2023-11-01,2025-11-03,"Rp1.066.583.005,00"
KTRK-100504,PT BitData Internasional,Pengembangan,470,2024-08-13,2025-11-26,"Rp3.292.121.052,00"
KTRK-100505,PT Koneksi Global Systems,Maintenance,476,2024-06-03,2025-09-22,"Rp3.382.958.371,00"
KTRK-100506,PT Digikarya Solusindo,Pembelian,1071,2023-03-29,2026-03-04,"Rp4.482.148.564,00"
KTRK-100507,PT Inovasi Digital Group,Pembelian,532,2024-09-19,2026-03-05,"Rp3.702.521.467,00"
KTRK-100508,PT Mitra Satu Corp,Maintenance,958,2023-11-07,2026-06-22,"Rp2.486.460.825,00"
KTRK-100509,PT Sibernetika Internasional,Pembelian,885,2023-10-15,2026-03-18,"Rp4.053.615.465,00"
KTRK-100510,PT Inovasi Digital Group,Maintenance,458,2024-06-05,2025-09-06,"Rp4.652.164.090,00"
KTRK-100511,PT NetSol Internasional,Pengembangan,621,2023-06-01,2025-02-11,"Rp3.128.400.284,00"
KTRK-100512,PT Komputasi Utama Solusindo,Pengembangan,218,2023-02-10,2023-09-16,"Rp3.039.010.729,00"
KTRK-100513,PT Komputasi Utama Corp,Pembelian,381,2023-06-04,2024-06-19,"Rp4.663.436.508,00"
KTRK-100514,PT Koneksi Global Corp,Maintenance,941,2023-06-12,2026-01-08,"Rp2.560.628.018,00"
KTRK-100515,PT Aksara Teknologi Systems,Pembelian,687,2023-02-25,2025-01-12,"Rp2.320.113.205,00"
KTRK-100516,PT BitData Systems,Maintenance,858,2024-04-01,2026-08-07,"Rp1.678.800.564,00"
KTRK-100517,PT BitData Solusindo,Pembelian,218,2024-03-23,2024-10-27,"Rp2.807.297.413,00"
KTRK-100518,PT Mitra Satu Solusindo,Pembelian,211,2023-10-03,2024-05-01,"Rp2.043.345.623,00"
KTRK-100519,PT Inovasi Digital Tbk,Pembelian,871,2023-11-04,2026-03-24,"Rp1.290.597.583,00"
KTRK-100520,PT Sibernetika Internasional,Pembelian,463,2023-09-24,2024-12-30,"Rp3.600.552.557,00"
KTRK-100521,PT Sibernetika Systems,Pembelian,452,2023-02-02,2024-04-29,"Rp1.226.492.454,00"
KTRK-100522,PT Mitra Satu Solusindo,Pembelian,1060,2024-04-13,2027-03-09,"Rp2.886.784.633,00"
KTRK-100523,PT Digikarya Tbk,Pembelian,729,2024-02-25,2026-02-23,"Rp1.381.918.435,00"
KTRK-100524,PT Digikarya Tbk,Pengembangan,603,2024-07-20,2026-03-15,"Rp4.914.403.232,00"
KTRK-100525,PT Digikarya Solusindo,Pembelian,952,2024-04-29,2026-12-07,"Rp4.673.722.525,00"
KTRK-100526,PT Mitra Satu Systems,Pembelian,452,2024-08-08,2025-11-03,"Rp2.539.556.468,00"
KTRK-100527,PT Digikarya Internasional,Pengembangan,969,2023-01-15,2025-09-10,"Rp3.772.396.031,00"
KTRK-100528,PT Inovasi Digital Systems,Pengembangan,519,2024-08-31,2026-02-01,"Rp3.398.972.056,00"
KTRK-100529,PT Digikarya Internasional,Pembelian,1091,2024-04-05,2027-04-01,"Rp2.793.815.358,00"
KTRK-100530,PT Solusi Digital Group,Pembelian,918,2024-01-12,2026-07-18,"Rp3.952.337.375,00"
KTRK-100531,PT Sibernetika Systems,Maintenance,363,2023-09-03,2024-08-31,"Rp3.213.109.243,00"
KTRK-100532,PT Cakrawala Teknologi Group,Pembelian,424,2024-02-02,2025-04-01,"Rp1.800.184.044,00"
KTRK-100533,PT Inovasi Digital Solusindo,Pembelian,375,2024-12-07,2025-12-17,"Rp4.051.059.266,00"
KTRK-100534,PT Cakrawala Teknologi Internasional,Maintenance,786,2024-12-13,2027-02-07,"Rp4.621.390.317,00"
KTRK-100535,PT Inovasi Digital Internasional,Maintenance,563,2024-02-20,2025-09-05,"Rp1.260.680.840,00"
KTRK-100536,PT Mitra Satu Tbk,Pengembangan,987,2024-12-11,2027-08-25,"Rp4.493.950.933,00"
KTRK-100537,PT Komputasi Utama Corp,Pengembangan,302,2023-01-12,2023-11-10,"Rp2.365.440.582,00"
KTRK-100538,PT Cakrawala Teknologi Group,Pengembangan,270,2024-07-30,2025-04-26,"Rp3.032.569.704,00"
KTRK-100539,PT Cakrawala Teknologi Systems,Pembelian,502,2023-03-04,2024-07-18,"Rp1.915.432.848,00"
KTRK-100540,PT Digikarya Corp,Pembelian,1013,2024-01-11,2026-10-20,"Rp1.068.165.080,00"
KTRK-100541,PT Koneksi Global Solusindo,Maintenance,567,2023-08-25,2025-03-14,"Rp1.792.963.328,00"
KTRK-100542,PT Solusi Digital Internasional,Pembelian,791,2024-02-20,2026-04-21,"Rp3.690.420.821,00"
KTRK-100543,PT Inovasi Digital Internasional,Maintenance,513,2024-12-20,2026-05-17,"Rp4.083.664.205,00"
KTRK-100544,PT BitData Solusindo,Pembelian,1015,2023-09-27,2026-07-08,"Rp2.082.963.931,00"
KTRK-100545,PT Aksara Teknologi Group,Maintenance,532,2024-05-01,2025-10-15,"Rp3.677.977.027,00"
KTRK-100546,PT Solusi Digital Tbk,Pembelian,560,2023-11-13,2025-05-26,"Rp4.692.913.441,00"
KTRK-100547,PT Aksara Teknologi Systems,Maintenance,219,2024-09-20,2025-04-27,"Rp1.273.953.581,00"
KTRK-100548,PT Sibernetika Corp,Maintenance,268,2024-07-23,2025-04-17,"Rp2.066.242.356,00"
KTRK-100549,PT BitData Internasional,Pembelian,974,2024-03-25,2026-11-24,"Rp4.068.815.639,00"
KTRK-100550,PT Teknologi Nusantara Corp,Pembelian,519,2023-06-20,2024-11-20,"Rp4.228.346.691,00"
KTRK-100551,PT Inovasi Digital Solusindo,Pembelian,642,2024-06-22,2026-03-26,"Rp4.565.825.089,00"
KTRK-100552,PT Solusi Digital Group,Maintenance,285,2023-05-17,2024-02-26,"Rp2.372.172.579,00"
KTRK-100553,PT Sibernetika Tbk,Pembelian,930,2023-03-23,2025-10-08,"Rp1.669.869.849,00"
KTRK-100554,PT Solusi Digital Solusindo,Pembelian,342,2024-04-05,2025-03-13,"Rp2.836.606.548,00"
KTRK-100555,PT Solusi Digital Tbk,Pembelian,657,2023-12-04,2025-09-21,"Rp4.257.223.262,00"
KTRK-100556,PT Digikarya Systems,Pengembangan,788,2024-01-23,2026-03-21,"Rp4.091.999.227,00"
KTRK-100557,PT Solusi Digital Solusindo,Pengembangan,747,2023-10-21,2025-11-06,"Rp1.611.009.700,00"
KTRK-100558,PT Digikarya Solusindo,Pembelian,323,2023-05-08,2024-03-26,"Rp2.114.905.327,00"
KTRK-100559,PT Mitra Satu Tbk,Maintenance,1007,2023-06-26,2026-03-29,"Rp3.034.001.532,00"
KTRK-100560,PT Komputasi Utama Group,Pembelian,925,2023-09-15,2026-03-28,"Rp4.403.808.523,00"
KTRK-100561,PT Solusi Digital Solusindo,Maintenance,432,2024-03-26,2025-06-01,"Rp3.067.526.437,00"
KTRK-100562,PT NetSol Solusindo,Maintenance,799,2024-02-01,2026-04-10,"Rp4.784.069.173,00"
KTRK-100563,PT Cakrawala Teknologi Group,Pengembangan,607,2024-11-08,2026-07-08,"Rp3.284.347.174,00"
KTRK-100564,PT Teknologi Nusantara Corp,Pengembangan,806,2023-05-18,2025-08-01,"Rp3.624.178.097,00"
KTRK-100565,PT Koneksi Global Solusindo,Pembelian,714,2023-11-26,2025-11-09,"Rp3.474.537.232,00"
KTRK-100566,PT Solusi Digital Solusindo,Pembelian,510,2024-05-12,2025-10-04,"Rp1.343.129.905,00"
KTRK-100567,PT Digikarya Group,Pengembangan,590,2023-08-05,2025-03-17,"Rp2.824.670.528,00"
KTRK-100568,PT Indoinovasi Systems,Pengembangan,372,2024-06-13,2025-06-20,"Rp1.146.783.413,00"
KTRK-100569,PT Aksara Teknologi Tbk,Pembelian,521,2023-08-14,2025-01-16,"Rp4.009.916.497,00"
KTRK-100570,PT NetSol Group,Pembelian,1047,2024-11-04,2027-09-17,"Rp1.264.786.829,00"
KTRK-100571,PT Koneksi Global Corp,Maintenance,746,2023-09-23,2025-10-08,"Rp2.504.676.256,00"
KTRK-100572,PT Mitra Satu Internasional,Maintenance,963,2024-10-30,2027-06-20,"Rp3.466.943.115,00"
KTRK-100573,PT Koneksi Global Corp,Pengembangan,938,2023-03-18,2025-10-11,"Rp2.376.501.651,00"
KTRK-100574,PT Indoinovasi Solusindo,Pembelian,1046,2024-03-12,2027-01-22,"Rp621.578.938,00"
KTRK-100575,PT BitData Corp,Pembelian,283,2023-01-03,2023-10-13,"Rp614.424.667,00"
KTRK-100576,PT Komputasi Utama Systems,Pengembangan,199,2024-04-07,2024-10-23,"Rp997.257.800,00"
KTRK-100577,PT NetSol Solusindo,Maintenance,844,2024-05-14,2026-09-05,"Rp570.749.540,00"
KTRK-100578,PT Indoinovasi Solusindo,Pembelian,932,2023-02-27,2025-09-16,"Rp582.956.093,00"
KTRK-100579,PT Koneksi Global Internasional,Pembelian,279,2023-04-18,2024-01-22,"Rp884.743.711,00"
KTRK-100580,PT Inovasi Digital Tbk,Pembelian,287,2023-08-09,2024-05-22,"Rp723.730.163,00"
KTRK-100581,PT Mitra Satu Solusindo,Maintenance,1021,2023-09-23,2026-07-10,"Rp830.061.406,00"
KTRK-100582,PT Digikarya Solusindo,Pembelian,679,2024-07-29,2026-06-08,"Rp636.239.066,00"
KTRK-100583,PT Digikarya Corp,Pembelian,1015,2024-09-29,2027-07-11,"Rp540.859.366,00"
KTRK-100584,PT BitData Solusindo,Pembelian,700,2023-02-04,2025-01-04,"Rp957.544.097,00"
KTRK-100585,PT NetSol Tbk,Pembelian,269,2024-02-19,2024-11-14,"Rp526.807.987,00"
KTRK-100586,PT Cakrawala Teknologi Systems,Pengembangan,713,2023-11-08,2025-10-21,"Rp925.946.346,00"
KTRK-100587,PT Teknologi Nusantara Corp,Maintenance,1023,2023-01-06,2025-10-25,"Rp943.167.208,00"
KTRK-100588,PT Cakrawala Teknologi Solusindo,Pembelian,511,2024-10-15,2026-03-10,"Rp983.727.288,00"
KTRK-100589,PT Digikarya Corp,Maintenance,624,2024-07-01,2026-03-17,"Rp511.522.817,00"
KTRK-100590,PT Inovasi Digital Systems,Maintenance,1084,2024-04-01,2027-03-21,"Rp961.914.687,00"
KTRK-100591,PT Solusi Digital Internasional,Pembelian,993,2023-07-24,2026-04-12,"Rp671.245.504,00"
KTRK-100592,PT Mitra Satu Solusindo,Pengembangan,1017,2024-09-18,2027-07-02,"Rp692.166.445,00"
KTRK-100593,PT Inovasi Digital Systems,Maintenance,809,2024-04-01,2026-06-19,"Rp799.600.876,00"
KTRK-100594,PT Solusi Digital Solusindo,Pengembangan,272,2024-12-16,2025-09-14,"Rp694.723.280,00"
KTRK-100595,PT Aksara Teknologi Tbk,Maintenance,444,2024-05-06,2025-07-24,"Rp957.442.064,00"
KTRK-100596,PT Indoinovasi Tbk,Maintenance,642,2024-02-29,2025-12-02,"Rp649.422.735,00"
KTRK-100597,PT Digikarya Solusindo,Pengembangan,260,2023-10-22,2024-07-08,"Rp561.759.661,00"
KTRK-100598,PT Komputasi Utama Tbk,Maintenance,600,2024-03-17,2025-11-07,"Rp574.664.366,00"
KTRK-100599,PT Mitra Satu Systems,Pengembangan,419,2023-09-26,2024-11-18,"Rp793.913.487,00"
KTRK-100600,PT Sibernetika Internasional,Pengembangan,732,2023-11-12,2025-11-13,"Rp503.649.253,00"
KTRK-100601,PT NetSol Group,Pembelian,993,2023-11-30,2026-08-19,"Rp650.927.619,00"
KTRK-100602,PT NetSol Solusindo,Pengembangan,575,2023-01-28,2024-08-25,"Rp677.873.122,00"
KTRK-100603,PT Cakrawala Teknologi Solusindo,Pembelian,281,2024-09-29,2025-07-07,"Rp637.605.105,00"
KTRK-100604,PT Inovasi Digital Systems,Maintenance,197,2023-01-16,2023-08-01,"Rp832.156.029,00"
KTRK-100605,PT Teknologi Nusantara Systems,Maintenance,443,2023-11-26,2025-02-11,"Rp559.551.674,00"
KTRK-100606,PT NetSol Group,Pengembangan,716,2023-12-25,2025-12-10,"Rp705.228.836,00"
KTRK-100607,PT Indoinovasi Systems,Pengembangan,928,2023-12-16,2026-07-01,"Rp812.109.180,00"
KTRK-100608,PT Teknologi Nusantara Internasional,Pembelian,184,2024-08-11,2025-02-11,"Rp600.971.238,00"
KTRK-100609,PT Mitra Satu Solusindo,Pengembangan,315,2023-03-02,2024-01-11,"Rp728.053.457,00"
KTRK-100610,PT BitData Tbk,Pembelian,183,2023-06-13,2023-12-13,"Rp993.373.423,00"
KTRK-100611,PT Digikarya Systems,Pembelian,618,2023-04-24,2025-01-01,"Rp711.963.313,00"
KTRK-100612,PT Sibernetika Corp,Pembelian,520,2023-07-04,2024-12-05,"Rp906.850.616,00"
KTRK-100613,PT Cakrawala Teknologi Corp,Maintenance,598,2024-07-04,2026-02-22,"Rp878.081.889,00"
KTRK-100614,PT BitData Tbk,Maintenance,211,2024-08-11,2025-03-10,"Rp879.778.697,00"
KTRK-100615,PT NetSol Solusindo,Pembelian,485,2023-03-08,2024-07-05,"Rp961.062.080,00"
KTRK-100616,PT Komputasi Utama Tbk,Maintenance,891,2023-05-23,2025-10-30,"Rp728.340.030,00"
KTRK-100617,PT Komputasi Utama Group,Pengembangan,812,2024-07-10,2026-09-30,"Rp852.677.576,00"
KTRK-100618,PT Sibernetika Tbk,Pengembangan,623,2023-08-13,2025-04-27,"Rp652.538.559,00"
KTRK-100619,PT Komputasi Utama Solusindo,Pengembangan,803,2024-07-31,2026-10-12,"Rp619.557.195,00"
KTRK-100620,PT Aksara Teknologi Internasional,Pengembangan,1076,2023-10-04,2026-09-14,"Rp762.608.062,00"
KTRK-100621,PT BitData Internasional,Pengembangan,784,2023-07-06,2025-08-28,"Rp547.457.357,00"
KTRK-100622,PT Indoinovasi Internasional,Pembelian,805,2023-07-16,2025-09-28,"Rp685.867.097,00"
KTRK-100623,PT Solusi Digital Internasional,Pembelian,224,2024-09-18,2025-04-30,"Rp772.451.410,00"
KTRK-100624,PT Digikarya Systems,Pengembangan,638,2023-06-23,2025-03-22,"Rp737.011.951,00"
KTRK-100625,PT Inovasi Digital Solusindo,Pembelian,1004,2023-01-20,2025-10-20,"Rp825.101.605,00"
KTRK-100626,PT Solusi Digital Internasional,Pembelian,290,2023-12-10,2024-09-25,"Rp702.045.255,00"
KTRK-100627,PT Indoinovasi Group,Maintenance,191,2023-03-07,2023-09-14,"Rp993.224.107,00"
KTRK-100628,PT Sibernetika Systems,Pembelian,475,2024-12-24,2026-04-13,"Rp887.239.297,00"
KTRK-100629,PT Sibernetika Group,Pengembangan,901,2023-10-18,2026-04-06,"Rp904.546.753,00"
KTRK-100630,PT Sibernetika Corp,Pembelian,410,2024-10-28,2025-12-12,"Rp777.798.508,00"
KTRK-100631,PT Mitra Satu Corp,Pengembangan,899,2023-06-24,2025-12-09,"Rp952.505.007,00"
KTRK-100632,PT Komputasi Utama Tbk,Maintenance,956,2023-07-21,2026-03-03,"Rp885.094.611,00"
KTRK-100633,PT Cakrawala Teknologi Corp,Pengembangan,382,2023-05-07,2024-05-23,"Rp692.410.871,00"
KTRK-100634,PT Inovasi Digital Corp,Pengembangan,198,2023-04-22,2023-11-06,"Rp708.560.180,00"
KTRK-100635,PT Koneksi Global Systems,Maintenance,617,2024-10-07,2026-06-16,"Rp576.298.682,00"
KTRK-100636,PT BitData Tbk,Pengembangan,338,2023-02-06,2024-01-10,"Rp666.910.970,00"
KTRK-100637,PT Aksara Teknologi Systems,Maintenance,611,2024-02-01,2025-10-04,"Rp606.328.914,00"
KTRK-100638,PT Koneksi Global Corp,Pengembangan,632,2024-02-22,2025-11-15,"Rp816.582.806,00"
KTRK-100639,PT Aksara Teknologi Systems,Maintenance,385,2024-11-04,2025-11-24,"Rp573.636.528,00"
KTRK-100640,PT Cakrawala Teknologi Systems,Pengembangan,564,2024-02-14,2025-08-31,"Rp581.684.737,00"
KTRK-100641,PT Indoinovasi Group,Maintenance,1042,2023-08-19,2026-06-26,"Rp808.873.331,00"
KTRK-100642,PT BitData Internasional,Pengembangan,924,2024-09-06,2027-03-19,"Rp777.287.770,00"
KTRK-100643,PT Sibernetika Internasional,Pembelian,1074,2024-02-29,2027-02-07,"Rp626.917.668,00"
KTRK-100644,PT Aksara Teknologi Group,Pengembangan,215,2023-02-14,2023-09-17,"Rp684.855.326,00"
KTRK-100645,PT Digikarya Group,Pembelian,469,2024-02-20,2025-06-03,"Rp563.107.808,00"
KTRK-100646,PT NetSol Tbk,Maintenance,438,2023-06-04,2024-08-15,"Rp591.378.013,00"
KTRK-100647,PT Inovasi Digital Internasional,Pengembangan,516,2024-09-06,2026-02-04,"Rp753.808.725,00"
KTRK-100648,PT Inovasi Digital Internasional,Pengembangan,306,2024-01-06,2024-11-07,"Rp777.769.537,00"
KTRK-100649,PT Koneksi Global Group,Maintenance,540,2024-06-01,2025-11-23,"Rp652.730.447,00"
KTRK-100650,PT BitData Solusindo,Pengembangan,1053,2023-12-20,2026-11-07,"Rp736.831.989,00"
KTRK-100651,PT Sibernetika Systems,Pengembangan,288,2023-11-05,2024-08-19,"Rp909.932.180,00"
KTRK-100652,PT Komputasi Utama Internasional,Maintenance,506,2024-04-30,2025-09-18,"Rp712.287.261,00"
KTRK-100653,PT BitData Solusindo,Pengembangan,192,2024-09-20,2025-03-31,"Rp898.683.499,00"
KTRK-100654,PT NetSol Corp,Pembelian,672,2024-11-17,2026-09-20,"Rp993.458.341,00"
KTRK-100655,PT Inovasi Digital Systems,Maintenance,861,2023-03-22,2025-07-30,"Rp856.924.298,00"
KTRK-100656,PT Cakrawala Teknologi Systems,Pembelian,413,2024-05-21,2025-07-08,"Rp804.444.758,00"
KTRK-100657,PT Indoinovasi Tbk,Pengembangan,402,2023-04-27,2024-06-02,"Rp995.331.133,00"
KTRK-100658,PT Aksara Teknologi Group,Maintenance,289,2023-11-25,2024-09-09,"Rp987.726.120,00"
KTRK-100659,PT Koneksi Global Solusindo,Maintenance,314,2024-07-18,2025-05-28,"Rp685.610.492,00"
KTRK-100660,PT Digikarya Solusindo,Pengembangan,382,2023-06-18,2024-07-04,"Rp512.190.393,00"
KTRK-100661,PT Indoinovasi Solusindo,Pengembangan,780,2024-01-14,2026-03-04,"Rp934.278.196,00"
KTRK-100662,PT Koneksi Global Solusindo,Pengembangan,1091,2023-07-02,2026-06-27,"Rp846.183.882,00"
KTRK-100663,PT Solusi Digital Solusindo,Maintenance,373,2024-03-26,2025-04-03,"Rp757.729.631,00"
KTRK-100664,PT BitData Internasional,Pembelian,1012,2024-10-28,2027-08-06,"Rp628.299.691,00"
KTRK-100665,PT Cakrawala Teknologi Group,Pembelian,533,2023-07-28,2025-01-11,"Rp638.462.838,00"
KTRK-100666,PT NetSol Corp,Pengembangan,966,2023-02-11,2025-10-04,"Rp606.482.889,00"
KTRK-100667,PT Komputasi Utama Internasional,Maintenance,207,2023-07-28,2024-02-20,"Rp993.447.236,00"
KTRK-100668,PT Teknologi Nusantara Tbk,Pengembangan,453,2023-12-26,2025-03-23,"Rp772.984.315,00"
KTRK-100669,PT Inovasi Digital Solusindo,Maintenance,990,2023-10-03,2026-06-19,"Rp664.595.069,00"
KTRK-100670,PT Solusi Digital Solusindo,Maintenance,683,2023-03-30,2025-02-10,"Rp952.148.656,00"
KTRK-100671,PT Inovasi Digital Group,Pengembangan,429,2023-11-17,2025-01-19,"Rp951.742.379,00"
KTRK-100672,PT Mitra Satu Solusindo,Maintenance,325,2024-09-30,2025-08-21,"Rp770.890.088,00"
KTRK-100673,PT Koneksi Global Systems,Maintenance,494,2024-06-05,2025-10-12,"Rp852.621.962,00"
KTRK-100674,PT Koneksi Global Group,Maintenance,720,2023-12-25,2025-12-14,"Rp796.852.663,00"
KTRK-100675,PT Inovasi Digital Group,Maintenance,1021,2023-04-11,2026-01-26,"Rp592.774.463,00"
KTRK-100676,PT Cakrawala Teknologi Solusindo,Pembelian,878,2024-12-18,2027-05-15,"Rp921.734.465,00"
KTRK-100677,PT NetSol Group,Pengembangan,795,2024-07-27,2026-09-30,"Rp546.298.379,00"
KTRK-100678,PT Cakrawala Teknologi Group,Maintenance,588,2024-11-20,2026-07-01,"Rp851.454.537,00"
KTRK-100679,PT NetSol Corp,Maintenance,510,2023-07-06,2024-11-27,"Rp957.001.121,00"
KTRK-100680,PT Teknologi Nusantara Solusindo,Pembelian,1056,2024-07-13,2027-06-04,"Rp893.337.853,00"
KTRK-100681,PT Komputasi Utama Group,Pengembangan,516,2024-09-29,2026-02-27,"Rp845.422.655,00"
KTRK-100682,PT Komputasi Utama Tbk,Maintenance,617,2023-12-27,2025-09-04,"Rp620.469.032,00"
KTRK-100683,PT Cakrawala Teknologi Corp,Maintenance,401,2024-07-25,2025-08-30,"Rp702.371.140,00"
KTRK-100684,PT Inovasi Digital Solusindo,Pembelian,376,2023-02-10,2024-02-21,"Rp899.884.089,00"
KTRK-100685,PT Cakrawala Teknologi Solusindo,Pengembangan,522,2023-04-13,2024-09-16,"Rp597.973.381,00"
KTRK-100686,PT Sibernetika Solusindo,Pembelian,629,2023-12-22,2025-09-11,"Rp879.676.143,00"
KTRK-100687,PT Indoinovasi Corp,Maintenance,738,2024-01-22,2026-01-29,"Rp648.676.013,00"
KTRK-100688,PT Aksara Teknologi Systems,Maintenance,1009,2024-06-06,2027-03-12,"Rp708.424.733,00"
KTRK-100689,PT Cakrawala Teknologi Tbk,Maintenance,1028,2023-02-10,2025-12-04,"Rp937.341.742,00"
KTRK-100690,PT Cakrawala Teknologi Solusindo,Pengembangan,980,2023-10-21,2026-06-27,"Rp813.127.097,00"
KTRK-100691,PT Mitra Satu Solusindo,Pengembangan,791,2024-01-20,2026-03-21,"Rp788.137.015,00"
KTRK-100692,PT Mitra Satu Corp,Maintenance,366,2024-02-07,2025-02-07,"Rp567.540.060,00"
KTRK-100693,PT Aksara Teknologi Solusindo,Pembelian,559,2023-04-07,2024-10-17,"Rp597.311.083,00"
KTRK-100694,PT Solusi Digital Tbk,Pengembangan,972,2023-06-25,2026-02-21,"Rp599.896.899,00"
KTRK-100695,PT Komputasi Utama Group,Pengembangan,913,2024-02-13,2026-08-14,"Rp901.417.204,00"
KTRK-100696,PT Aksara Teknologi Solusindo,Pembelian,273,2024-09-12,2025-06-12,"Rp637.988.222,00"
KTRK-100697,PT Inovasi Digital Group,Pengembangan,499,2023-09-26,2025-02-06,"Rp844.140.828,00"
KTRK-100698,PT Solusi Digital Systems,Maintenance,1031,2024-03-16,2027-01-11,"Rp840.008.815,00"
KTRK-100699,PT Aksara Teknologi Tbk,Pembelian,750,2023-09-15,2025-10-04,"Rp527.927.119,00"
KTRK-100700,PT Solusi Digital Group,Maintenance,860,2023-01-21,2025-05-30,"Rp965.509.755,00"
KTRK-100701,PT Koneksi Global Tbk,Maintenance,1015,2024-09-25,2027-07-07,"Rp564.796.417,00"
KTRK-100702,PT Mitra Satu Tbk,Pengembangan,691,2023-03-13,2025-02-01,"Rp637.767.188,00"
KTRK-100703,PT NetSol Group,Maintenance,318,2023-08-26,2024-07-09,"Rp802.565.697,00"
KTRK-100704,PT Solusi Digital Systems,Maintenance,510,2023-06-26,2024-11-17,"Rp680.450.608,00"
KTRK-100705,PT Koneksi Global Corp,Pengembangan,841,2023-08-28,2025-12-16,"Rp958.330.376,00"
KTRK-100706,PT Koneksi Global Solusindo,Pengembangan,558,2023-07-04,2025-01-12,"Rp814.390.578,00"
KTRK-100707,PT Aksara Teknologi Solusindo,Pembelian,952,2023-05-10,2025-12-17,"Rp574.337.527,00"
KTRK-100708,PT Teknologi Nusantara Group,Maintenance,1051,2023-04-04,2026-02-18,"Rp707.050.812,00"
KTRK-100709,PT BitData Group,Maintenance,479,2024-10-01,2026-01-23,"Rp544.522.809,00"
KTRK-100710,PT Inovasi Digital Corp,Maintenance,520,2023-10-16,2025-03-19,"Rp656.007.415,00"
KTRK-100711,PT Digikarya Group,Pengembangan,1077,2023-08-16,2026-07-28,"Rp908.292.155,00"
KTRK-100712,PT BitData Systems,Maintenance,630,2024-12-25,2026-09-16,"Rp500.780.657,00"
